english,polish
people love people,ludzie kochaja ludzi
people love dogs,ludzie kochaja psy
people love cats,ludzie kochaja koty
people love food,ludzie kochaja jedzenie
people hate people,ludzie nienawidza ludzi
people hate dogs,ludzie nienawidza psow
people hate cats,ludzie nienawidza kotow
people hate food,ludzie nienawidza jedzenia
dogs love people,psy kochaja ludzi
dogs love dogs,psy kochaja psy
dogs love cats,psy kochaja koty
dogs love food,psy kochaja jedzenie
dogs hate people,psy nienawidza ludzi
dogs hate dogs,psy nienawidza psow
dogs hate cats,psy nienawidza kotow
dogs hate food,psy nienawidza jedzenia
cats love people,koty kochaja ludzi
cats love dogs,koty kochaja psy
cats love cats,koty kochaja koty
cats love food,koty kochaja jedzenie
cats hate people,koty nienawidza ludzi
cats hate dogs,koty nienawidza psow
cats hate cats,koty nienawidza kotow
cats hate food,koty nienawidza jedzenia
i love people,kocham ludzi
i love dogs,kocham psy
i love cats,kocham koty
i love food,kocham jedzenie
i hate people,nienawidze ludzi
i hate dogs,nienawidze psow
i hate cats,nienawidze kotow
i hate food,nienawidze jedzenia
you love people,kochasz ludzi
you love dogs,kochasz psy
you love cats,kochasz koty
you love food,kochasz jedzenie
you hate people,nienawidzisz ludzi
you hate dogs,nienawidzisz psow
you hate cats,nienawidzisz kotow
you hate food,nienawidzisz jedzenia
people are here,ludzie sa tutaj
people are good,ludzie sa dobrzy
dogs are here,psy sa tutaj
dogs are good,psy sa dobre
cats are here,koty sa tutaj
cats are good,koty sa dobre
cats are dogs,koty sa psami
dogs are cats,psy sa kotami
i am here,jestem tutaj
i am good,jestem dobry
you are here,jestes tutaj
you are good,jestes dobry
it is here,to jest tutaj
it is good,to jest dobre
it is food,to jest jedzenie
food is here,jedzenie jest tutaj
food is good,jedzenie jest dobre
here is food,tutaj jest jedzenie
it is cats,to sa koty
it is dogs,to sa psy
it is you,to ty
hello,czesc
good morning,dzien dobry
good afternoon,dzien dobry
thank you,dziekuje
how are you,jak sie masz
bye bye,pa pa
hello dogs,czesc psy
hello cats,czesc koty
hello people,czesc ludzie
thank you dogs,dziekuje psy
thank you cats,dziekuje koty
thank you people,dziekuje ludzie
you love me,kochasz mnie
i love you,kocham cie
dogs love you,psy kochaja cie
cats love you,koty kochaja cie
people love you,ludzie kochaja cie
cats hate you,koty nienawidza cie
dogs hate you,psy nienawidza cie
people hate you,ludzie nienawidza cie
i hate you,nienawidze cie
you hate me,nienawidzisz mnie
good dogs,dobre psy
good cats,dobre koty
good people,dobrzy ludzie
good food,dobre jedzenie
